ID,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Vintage,Response
62,Female,20,1,50,0,< 1 Year,Yes,36615,218,0
63,Female,62,1,28,0,> 2 Years,Yes,33830,130,0
64,Male,58,1,19,1,1-2 Year,No,39661,141,0
65,Male,39,1,15,0,1-2 Year,Yes,37849,22,0
66,Female,59,1,30,0,1-2 Year,Yes,34426,147,0
67,Male,41,1,28,0,1-2 Year,Yes,42268,36,0
68,Male,60,1,28,0,1-2 Year,Yes,66338,73,0
69,Male,63,1,28,1,1-2 Year,No,61739,79,0
70,Female,50,1,41,0,1-2 Year,Yes,2630,81,1
71,Male,44,1,47,0,1-2 Year,Yes,46481,100,0
72,Female,27,1,11,0,< 1 Year,Yes,34587,63,0
73,Female,23,1,39,1,< 1 Year,No,40372,242,0
74,Male,50,1,28,1,1-2 Year,No,27784,277,0
75,Male,59,1,23,0,1-2 Year,No,27865,39,0
76,Female,59,1,26,1,1-2 Year,No,35649,136,0
77,Male,67,1,28,1,1-2 Year,No,31993,61,0
78,Female,27,1,33,1,< 1 Year,No,35512,111,0
79,Male,29,1,28,0,1-2 Year,Yes,42567,167,1
80,Male,77,1,37,1,1-2 Year,No,40651,183,0
81,Male,54,1,26,0,1-2 Year,Yes,35493,74,0
82,Female,28,1,28,1,< 1 Year,No,38529,235,0
83,Female,39,1,8,1,1-2 Year,No,34735,131,0
84,Female,39,1,5,0,1-2 Year,Yes,31760,141,0
85,Male,69,1,28,0,1-2 Year,Yes,29802,158,0
86,Female,21,1,17,0,< 1 Year,Yes,27756,243,0
87,Female,54,1,47,0,> 2 Years,Yes,32873,248,0
88,Male,25,1,23,0,< 1 Year,Yes,23537,58,0
89,Female,23,1,35,1,< 1 Year,No,27606,114,0
90,Female,20,1,36,0,< 1 Year,Yes,46275,281,1
91,Female,25,1,50,1,< 1 Year,No,31556,62,0
92,Female,26,1,30,1,< 1 Year,No,31791,189,0
93,Male,77,1,28,0,1-2 Year,Yes,36099,139,0
94,Female,28,1,41,0,1-2 Year,No,2630,138,0
95,Female,23,1,15,0,< 1 Year,Yes,41641,209,0
96,Female,23,1,30,0,< 1 Year,No,26689,254,0
97,Male,50,1,28,0,1-2 Year,Yes,46995,291,0
98,Female,62,1,28,0,> 2 Years,Yes,41892,114,0
99,Female,21,1,2,0,< 1 Year,Yes,34274,79,0
100,Female,24,1,7,1,< 1 Year,Yes,2630,68,0
101,Male,52,1,28,1,1-2 Year,No,36033,92,0
102,Male,24,1,3,1,< 1 Year,No,28139,52,0
103,Female,20,1,30,0,< 1 Year,Yes,33227,78,0
104,Female,22,1,8,1,< 1 Year,No,39816,156,0
105,Male,29,1,41,1,< 1 Year,Yes,43046,222,0
106,Female,44,1,28,0,1-2 Year,Yes,50521,22,1
107,Female,23,1,41,1,< 1 Year,No,36674,158,0
108,Male,31,1,29,0,1-2 Year,Yes,28867,247,0
109,Male,72,1,46,1,1-2 Year,Yes,28698,216,0
110,Male,45,1,35,0,1-2 Year,Yes,2630,275,0
111,Male,27,1,8,1,< 1 Year,No,31428,77,0
112,Female,48,1,46,0,> 2 Years,Yes,37379,139,0
113,Female,33,1,30,1,< 1 Year,No,24998,181,0
114,Male,50,1,30,0,1-2 Year,Yes,34271,229,1
115,Female,28,1,30,1,< 1 Year,No,32830,275,0
116,Female,32,1,46,0,1-2 Year,Yes,34810,166,0
117,Male,69,1,46,0,1-2 Year,Yes,2630,16,0
118,Female,32,1,27,1,< 1 Year,No,22838,295,0
119,Female,23,1,29,1,< 1 Year,No,37983,23,0
120,Female,23,1,25,0,< 1 Year,No,2630,149,0
121,Male,39,1,3,0,1-2 Year,Yes,37239,216,1
122,Female,39,1,28,1,1-2 Year,No,37243,31,0
123,Male,37,1,13,0,1-2 Year,Yes,30440,293,0
124,Male,34,1,18,0,1-2 Year,Yes,38232,156,1
125,Male,23,1,15,1,< 1 Year,No,25605,256,0
126,Male,49,1,28,0,1-2 Year,Yes,2630,88,0
127,Male,23,1,41,1,< 1 Year,No,33307,147,0
128,Female,22,1,25,0,< 1 Year,Yes,23955,22,0
129,Female,22,1,20,0,< 1 Year,Yes,2630,219,0
130,Female,27,1,41,1,< 1 Year,No,22371,50,0
131,Male,50,1,28,0,1-2 Year,Yes,57389,155,1
132,Female,27,1,28,1,< 1 Year,No,30005,92,0
133,Male,28,1,37,1,< 1 Year,No,32600,131,0
134,Female,25,1,49,1,< 1 Year,No,31680,66,0
135,Female,27,1,8,1,< 1 Year,No,40651,260,0
136,Female,43,1,41,0,1-2 Year,Yes,2630,19,1
137,Female,59,1,39,0,1-2 Year,Yes,32775,158,0
138,Female,23,1,36,0,< 1 Year,Yes,33638,22,0
139,Male,36,1,28,1,1-2 Year,No,2630,258,0
140,Male,21,1,29,1,< 1 Year,No,62164,116,0
141,Female,21,1,46,1,< 1 Year,No,27528,117,0
142,Female,47,1,41,1,1-2 Year,No,42080,62,0
143,Male,25,1,28,1,< 1 Year,No,36202,193,0
144,Female,32,1,46,0,1-2 Year,Yes,27320,204,0
145,Male,21,1,3,1,< 1 Year,No,40511,212,0
146,Male,23,1,28,0,< 1 Year,Yes,56589,144,0
147,Female,27,1,30,1,< 1 Year,No,33780,246,0
148,Male,20,1,39,1,< 1 Year,No,28329,78,0
149,Female,38,1,28,0,1-2 Year,Yes,34471,234,1
150,Female,22,1,11,1,< 1 Year,No,76651,258,0
151,Male,25,1,8,0,< 1 Year,Yes,54385,206,0
152,Male,27,1,28,0,< 1 Year,Yes,26732,282,0
153,Male,51,1,19,0,1-2 Year,Yes,2630,228,0
154,Male,53,1,28,1,1-2 Year,No,40397,156,0
155,Female,24,1,22,1,< 1 Year,No,34591,125,0
156,Female,49,1,28,0,1-2 Year,Yes,32771,29,0
157,Female,41,1,28,0,1-2 Year,Yes,54740,212,1
158,Male,41,1,35,0,1-2 Year,Yes,25112,221,0
159,Female,23,1,47,0,< 1 Year,Yes,28737,18,0
160,Female,31,1,15,1,< 1 Year,No,25908,84,0
161,Male,20,1,3,1,< 1 Year,No,41914,206,0
162,Male,70,1,25,1,1-2 Year,No,2630,230,0
163,Male,78,1,28,1,1-2 Year,No,42462,54,0
164,Female,31,1,28,1,1-2 Year,No,29395,123,0
165,Female,48,1,36,1,1-2 Year,No,2630,189,0
166,Male,25,1,30,1,< 1 Year,No,29396,22,0
167,Female,28,1,44,0,1-2 Year,Yes,37570,258,1
168,Female,26,1,8,0,< 1 Year,Yes,89282,101,0
169,Female,60,1,28,1,1-2 Year,No,30386,114,0
170,Female,28,1,8,1,< 1 Year,No,31454,86,0
171,Male,23,1,36,1,< 1 Year,No,52462,243,0
172,Male,22,1,36,1,< 1 Year,No,36352,13,0
173,Female,50,1,28,0,1-2 Year,Yes,36282,237,0
174,Female,33,1,36,1,< 1 Year,No,40899,85,0
175,Male,24,1,35,1,< 1 Year,No,23540,98,0
176,Female,22,1,36,1,< 1 Year,No,34527,67,0
177,Male,25,1,28,1,< 1 Year,No,101021,49,0
178,Male,60,1,45,0,1-2 Year,No,42888,229,0
179,Male,46,1,28,0,1-2 Year,Yes,60478,128,1
180,Female,45,1,46,0,1-2 Year,Yes,22689,95,0
181,Male,30,1,28,1,1-2 Year,No,40167,264,0
182,Male,52,1,0,0,1-2 Year,Yes,2630,89,0
183,Male,47,1,15,1,1-2 Year,No,29306,99,0
184,Male,59,1,41,1,1-2 Year,No,28821,29,0
185,Female,51,1,28,0,1-2 Year,Yes,57008,208,0
186,Male,52,1,0,1,1-2 Year,No,2630,134,0
187,Male,48,1,8,0,> 2 Years,Yes,44021,135,0
188,Male,42,1,37,0,1-2 Year,Yes,36532,268,0
189,Female,45,1,28,0,1-2 Year,Yes,25604,85,0
190,Female,27,1,11,1,1-2 Year,No,26756,254,0
191,Female,28,1,8,1,< 1 Year,No,37731,30,0
192,Female,24,1,16,1,< 1 Year,No,28190,284,0
193,Male,32,1,46,1,< 1 Year,No,23847,183,0
194,Male,21,1,47,0,< 1 Year,No,37028,119,0
195,Male,39,1,28,1,1-2 Year,No,29468,166,0
196,Male,55,1,30,1,1-2 Year,No,29215,226,0
197,Female,56,1,15,0,1-2 Year,No,29132,229,0
198,Male,42,1,3,0,1-2 Year,Yes,32293,105,1
199,Female,26,1,26,1,< 1 Year,No,2630,142,0
200,Female,42,1,28,0,1-2 Year,Yes,40613,242,0
201,Male,55,1,28,0,1-2 Year,Yes,49470,203,0
202,Female,41,1,28,0,1-2 Year,Yes,22561,207,1
203,Male,22,1,11,1,< 1 Year,No,21126,272,0
204,Male,42,1,8,0,1-2 Year,No,24224,66,0
205,Female,30,1,28,0,< 1 Year,Yes,39104,263,1
206,Male,21,1,30,0,< 1 Year,Yes,26720,64,0
207,Female,23,1,46,1,< 1 Year,No,18682,57,0
208,Female,21,1,6,0,< 1 Year,Yes,19196,40,0
209,Male,24,1,6,1,< 1 Year,No,18576,245,0
210,Male,26,1,37,0,< 1 Year,Yes,57159,163,0
211,Female,48,1,28,1,1-2 Year,No,35945,24,0
212,Male,45,1,28,0,1-2 Year,Yes,33205,243,0
213,Male,44,1,28,0,> 2 Years,Yes,42754,23,1
214,Male,42,1,45,0,1-2 Year,No,28759,102,0
215,Male,44,1,2,0,1-2 Year,No,34618,265,0
216,Female,25,1,9,0,< 1 Year,No,34280,202,0
217,Female,60,1,28,0,> 2 Years,Yes,65472,36,0
218,Female,21,1,46,0,< 1 Year,Yes,33245,259,0
219,Male,22,1,15,0,< 1 Year,Yes,32252,100,0
220,Male,23,1,41,1,< 1 Year,No,26285,91,0
221,Female,44,1,28,1,1-2 Year,No,2630,114,0
222,Male,40,1,20,0,1-2 Year,Yes,2630,204,0
223,Male,21,1,27,1,< 1 Year,No,45006,106,0
224,Female,61,1,28,0,> 2 Years,Yes,2630,190,1
225,Male,75,1,28,0,> 2 Years,Yes,40765,162,0
226,Female,53,1,28,1,1-2 Year,No,44313,33,0
227,Male,37,1,8,1,1-2 Year,No,29099,194,0
228,Male,29,1,28,1,< 1 Year,No,44742,85,0
229,Male,32,1,50,0,< 1 Year,No,2630,287,0
230,Female,64,1,28,1,1-2 Year,Yes,41697,287,0
231,Male,42,1,31,0,1-2 Year,Yes,2630,181,0
232,Male,24,1,47,0,< 1 Year,Yes,36414,292,0
233,Male,53,1,0,0,1-2 Year,Yes,2630,69,0
234,Male,62,1,15,0,1-2 Year,No,44679,239,0
235,Male,25,1,46,1,< 1 Year,No,39914,235,0
236,Male,23,1,39,0,< 1 Year,Yes,29575,281,1
237,Female,48,1,33,0,1-2 Year,Yes,44724,132,0
238,Male,28,1,15,1,< 1 Year,No,38339,245,0
239,Male,33,1,3,1,1-2 Year,No,27609,255,0
240,Female,63,1,28,0,> 2 Years,Yes,31004,281,0
241,Male,22,1,46,1,< 1 Year,No,30745,147,0
242,Male,27,1,3,1,< 1 Year,No,27181,125,0
243,Female,36,1,28,0,1-2 Year,Yes,40431,230,0
244,Male,49,1,28,0,1-2 Year,Yes,45558,49,0
245,Female,39,1,46,0,1-2 Year,No,35145,116,0
246,Female,21,1,11,0,< 1 Year,Yes,35555,242,1
247,Female,57,1,46,0,1-2 Year,Yes,30777,158,0
248,Female,43,1,28,0,1-2 Year,Yes,29578,203,1
249,Female,25,1,27,0,< 1 Year,No,2630,167,0
250,Male,41,1,11,1,1-2 Year,No,35614,152,0
251,Male,33,1,31,1,< 1 Year,No,2630,259,0
252,Male,23,1,12,1,< 1 Year,No,24886,111,0
253,Female,20,1,34,0,< 1 Year,Yes,33247,281,0
254,Male,36,1,28,1,1-2 Year,No,47682,121,0
255,Male,21,1,13,1,< 1 Year,No,37710,30,0
256,Female,57,1,28,0,> 2 Years,Yes,2630,71,0
257,Male,25,1,28,1,< 1 Year,No,43516,150,0
258,Female,24,1,46,0,< 1 Year,Yes,27141,246,0
259,Male,67,1,28,1,1-2 Year,No,31011,63,0
260,Male,24,1,13,1,< 1 Year,No,44603,207,0
261,Male,54,1,28,0,1-2 Year,Yes,34367,237,1
262,Female,22,1,12,1,< 1 Year,No,29823,128,0
263,Male,45,1,30,1,1-2 Year,No,2630,121,0
264,Male,22,1,36,1,< 1 Year,No,2630,60,0
265,Male,24,1,28,0,< 1 Year,Yes,21583,143,0
266,Female,22,1,11,1,< 1 Year,No,32234,117,0
267,Male,48,1,28,0,1-2 Year,Yes,42028,77,0
268,Female,28,1,21,1,< 1 Year,No,26106,95,0
269,Female,27,1,50,0,< 1 Year,Yes,2630,83,0
270,Male,49,1,46,1,1-2 Year,No,2630,198,0
271,Male,62,1,8,0,1-2 Year,Yes,47272,194,0
272,Male,45,1,28,0,1-2 Year,Yes,42704,116,0
273,Female,60,1,6,0,1-2 Year,Yes,2630,143,0
274,Female,20,1,17,0,1-2 Year,No,2630,181,0
275,Female,38,1,10,0,1-2 Year,Yes,37039,103,0
276,Female,52,1,31,0,1-2 Year,Yes,2630,127,0
277,Female,36,1,15,0,1-2 Year,Yes,2630,69,1
278,Male,55,1,28,0,> 2 Years,Yes,41246,285,0
279,Female,20,1,35,0,< 1 Year,Yes,34281,214,0
280,Male,25,1,28,1,< 1 Year,No,47031,151,0
281,Male,25,1,39,0,< 1 Year,No,2630,217,0
282,Female,54,1,41,0,1-2 Year,Yes,53581,199,1
283,Female,21,1,14,1,< 1 Year,No,36712,56,0
284,Male,40,1,48,0,> 2 Years,Yes,2630,86,0
285,Male,36,1,28,0,1-2 Year,Yes,34165,143,0
286,Male,42,1,15,0,1-2 Year,Yes,28883,66,0
287,Male,24,1,10,1,< 1 Year,No,35443,45,0
288,Male,39,1,28,0,1-2 Year,Yes,32807,186,0
289,Male,26,1,10,0,< 1 Year,Yes,24115,69,0
290,Male,64,1,8,0,1-2 Year,Yes,2630,293,0
291,Female,25,1,47,1,< 1 Year,No,2630,299,0
292,Female,22,1,13,1,< 1 Year,No,37093,66,0
293,Female,43,1,3,0,1-2 Year,Yes,31020,59,1
294,Female,28,1,6,1,< 1 Year,No,18683,215,0
295,Male,22,1,13,1,< 1 Year,No,33413,104,0
296,Female,26,1,16,0,< 1 Year,Yes,32232,238,0
297,Female,22,1,46,0,< 1 Year,Yes,31180,120,0
298,Male,60,1,8,0,1-2 Year,Yes,2630,21,0
299,Female,49,1,31,0,1-2 Year,Yes,2630,32,1
300,Male,22,1,21,1,< 1 Year,No,30893,29,0
301,Male,21,1,29,1,< 1 Year,No,43798,258,0
302,Male,67,1,28,0,1-2 Year,Yes,32653,171,0
303,Female,35,1,28,0,1-2 Year,Yes,41662,223,0
304,Female,24,1,33,1,< 1 Year,No,20513,270,0
305,Male,24,1,11,1,< 1 Year,No,27771,233,0
306,Male,24,1,15,1,< 1 Year,No,23267,143,0
307,Female,28,1,41,1,< 1 Year,No,37948,211,0
308,Female,24,1,30,1,< 1 Year,No,24414,149,0
309,Male,71,1,28,0,1-2 Year,Yes,42881,105,0
310,Male,26,1,35,1,< 1 Year,No,51047,165,0
311,Female,45,1,28,0,> 2 Years,Yes,73929,86,0
312,Female,59,1,39,0,1-2 Year,Yes,44630,200,0
313,Female,26,1,28,1,< 1 Year,No,44082,197,0
314,Female,24,1,46,1,< 1 Year,No,21006,11,0
315,Male,42,1,8,0,1-2 Year,Yes,35600,213,0
316,Male,20,1,12,0,< 1 Year,Yes,82705,49,0
317,Male,54,1,6,1,1-2 Year,No,24515,93,0
318,Male,48,1,8,1,1-2 Year,No,41483,113,0
319,Male,59,1,41,0,1-2 Year,Yes,2630,88,0
320,Male,43,1,5,1,1-2 Year,Yes,2630,178,0
321,Female,40,1,29,0,1-2 Year,Yes,2630,77,0
322,Male,77,1,50,1,1-2 Year,No,42327,10,0
323,Female,22,1,28,0,< 1 Year,Yes,48276,290,0
324,Female,35,1,28,0,1-2 Year,Yes,41029,94,0
325,Male,24,1,8,1,< 1 Year,No,35981,231,0
326,Female,24,1,33,1,< 1 Year,No,32219,45,0
327,Female,26,1,47,1,< 1 Year,No,2630,296,0
328,Male,26,1,30,1,< 1 Year,No,2630,270,0
329,Male,39,1,28,0,1-2 Year,Yes,38036,10,0
330,Female,52,1,45,0,1-2 Year,Yes,23918,265,0
331,Male,20,1,28,1,< 1 Year,No,31367,255,0
332,Male,69,1,28,0,1-2 Year,Yes,30727,47,0
333,Female,28,1,46,1,< 1 Year,No,41526,122,0
334,Male,44,1,28,0,1-2 Year,Yes,30427,237,1
335,Female,22,1,8,1,< 1 Year,No,48773,217,0
336,Male,20,1,29,1,1-2 Year,No,2630,271,0
337,Male,21,1,8,1,< 1 Year,No,27076,278,0
338,Male,23,1,18,1,< 1 Year,No,35970,16,0
339,Male,36,1,8,0,1-2 Year,Yes,30941,249,0
340,Female,69,1,28,0,1-2 Year,Yes,32400,189,1
341,Male,27,1,15,0,< 1 Year,Yes,33845,260,0
342,Male,47,1,41,1,1-2 Year,No,36809,226,0
343,Female,49,1,28,0,1-2 Year,Yes,48505,271,0
344,Male,25,1,25,1,< 1 Year,No,32856,275,0
345,Female,21,1,29,1,< 1 Year,No,29166,278,0
346,Male,42,1,38,0,1-2 Year,Yes,34193,116,1
347,Male,22,1,37,0,< 1 Year,Yes,38240,221,1
348,Female,42,1,28,0,1-2 Year,Yes,39977,276,0
349,Female,31,1,28,0,1-2 Year,Yes,39423,190,0
350,Female,60,1,36,1,1-2 Year,Yes,36638,33,0
351,Male,46,1,29,0,1-2 Year,Yes,28946,64,0
352,Female,23,1,46,1,< 1 Year,No,2630,88,0
353,Female,22,1,30,1,< 1 Year,No,18202,107,0
354,Male,20,1,8,1,< 1 Year,No,38076,79,0
355,Male,57,1,28,0,1-2 Year,Yes,19618,96,1
356,Female,29,1,28,1,< 1 Year,No,27715,93,0
357,Male,22,1,46,1,< 1 Year,Yes,28311,240,0
358,Female,22,1,36,0,< 1 Year,Yes,2630,211,0
359,Male,43,1,28,0,1-2 Year,Yes,39495,172,1
360,Male,54,1,15,0,1-2 Year,Yes,35116,171,1
361,Male,44,1,28,0,1-2 Year,Yes,39450,214,0
362,Female,23,1,8,1,< 1 Year,No,42644,257,0
363,Female,50,1,28,0,1-2 Year,Yes,68147,218,0
364,Male,50,1,28,1,1-2 Year,No,42024,224,0
365,Female,44,1,41,0,1-2 Year,Yes,30875,173,0
366,Male,22,1,46,1,< 1 Year,No,25037,220,0
367,Male,31,1,24,0,1-2 Year,Yes,2630,257,0
368,Female,20,1,12,0,< 1 Year,Yes,2630,203,0
369,Male,52,1,30,1,< 1 Year,No,2630,152,0
370,Male,58,1,28,1,1-2 Year,No,44522,94,0
371,Male,59,1,49,0,1-2 Year,Yes,39971,143,0
372,Female,25,1,8,1,< 1 Year,No,42307,213,0
373,Male,45,1,28,0,> 2 Years,Yes,49145,222,1
374,Male,44,1,46,1,1-2 Year,No,50696,193,0
375,Female,38,1,29,0,1-2 Year,Yes,47639,169,0
376,Male,38,1,28,0,1-2 Year,Yes,65212,32,0
377,Male,23,1,27,1,< 1 Year,No,26287,199,0
378,Female,78,1,46,1,1-2 Year,No,31616,185,0
379,Male,20,1,35,1,< 1 Year,No,2630,81,0
380,Male,25,1,11,0,< 1 Year,No,38081,132,0
381,Male,47,1,28,1,1-2 Year,No,31269,213,0
382,Male,66,1,31,0,> 2 Years,Yes,2630,90,0
383,Female,55,1,28,0,> 2 Years,Yes,49146,190,1
384,Female,24,1,8,0,< 1 Year,Yes,54408,86,0
385,Male,26,1,8,1,< 1 Year,No,54203,81,0
386,Female,22,1,28,1,< 1 Year,No,38452,51,0
387,Female,34,1,28,0,1-2 Year,No,46685,205,0
388,Male,66,1,28,0,1-2 Year,No,42644,80,0
389,Female,44,1,28,0,1-2 Year,Yes,45485,245,0
390,Male,21,1,13,0,< 1 Year,Yes,28733,70,0
391,Male,20,1,46,0,< 1 Year,Yes,49211,284,0
392,Male,22,1,50,1,< 1 Year,No,36287,70,0
393,Female,25,1,37,0,< 1 Year,Yes,2630,249,0
394,Female,49,1,29,0,1-2 Year,No,2630,265,0
395,Male,50,1,31,0,1-2 Year,Yes,2630,237,0
396,Male,75,1,8,1,1-2 Year,No,2630,11,0
397,Male,31,1,28,0,< 1 Year,Yes,32883,132,0
398,Male,21,1,28,0,< 1 Year,No,2630,186,0
399,Female,47,1,15,0,1-2 Year,Yes,2630,166,0
400,Male,59,1,28,0,1-2 Year,Yes,44233,160,1
401,Male,23,1,47,0,< 1 Year,Yes,25080,277,1
402,Male,65,1,28,0,1-2 Year,Yes,90789,186,1
403,Female,27,1,33,0,< 1 Year,Yes,2630,125,0
404,Male,49,1,28,0,1-2 Year,Yes,37214,158,1
405,Male,51,1,28,0,1-2 Year,Yes,37690,34,0
406,Female,66,1,47,0,1-2 Year,Yes,34757,92,0
407,Male,45,1,28,0,1-2 Year,No,42620,245,0
408,Female,45,1,35,1,1-2 Year,No,2630,200,0
409,Female,68,1,30,1,1-2 Year,No,2630,218,0
410,Male,47,1,28,0,> 2 Years,Yes,33145,237,0
411,Male,28,1,6,0,1-2 Year,Yes,31181,282,0
412,Female,25,1,40,0,< 1 Year,Yes,39361,104,0
413,Female,51,1,28,0,> 2 Years,Yes,33632,137,0
414,Female,24,1,6,1,< 1 Year,No,29371,168,0
415,Female,25,1,43,1,< 1 Year,No,27080,177,0
416,Female,24,1,43,0,< 1 Year,Yes,29981,185,0
417,Male,41,1,21,0,1-2 Year,Yes,29440,87,1
418,Male,29,1,46,0,< 1 Year,Yes,2630,118,0
419,Female,22,1,46,1,< 1 Year,No,31506,113,0
420,Female,38,1,38,1,1-2 Year,No,37379,158,0
421,Female,26,1,8,1,< 1 Year,No,22650,181,0
422,Male,23,1,6,1,< 1 Year,No,24308,256,0
423,Female,36,1,46,0,< 1 Year,Yes,2630,94,0
424,Female,37,1,28,0,1-2 Year,Yes,20267,88,0
425,Female,21,1,8,1,< 1 Year,Yes,46704,99,0
426,Female,24,1,13,0,< 1 Year,Yes,2630,19,0
427,Male,22,1,46,1,< 1 Year,No,23810,220,0
428,Male,54,1,28,1,1-2 Year,No,34431,288,0
429,Female,21,1,34,0,1-2 Year,Yes,36314,86,1
430,Female,44,1,28,0,1-2 Year,Yes,119735,295,0
431,Male,48,1,8,0,1-2 Year,Yes,42100,247,1
432,Male,42,1,11,0,1-2 Year,Yes,40473,46,0
433,Female,45,1,28,0,1-2 Year,Yes,27616,134,0
434,Male,25,1,16,1,< 1 Year,No,2630,178,0
435,Male,76,1,15,1,1-2 Year,No,39952,126,0
436,Male,64,1,28,0,1-2 Year,Yes,42417,116,0
437,Male,29,1,8,0,< 1 Year,Yes,42992,241,0
438,Female,28,1,14,1,< 1 Year,No,27555,258,0
439,Female,24,1,46,1,< 1 Year,No,25784,128,0
440,Female,49,1,8,0,1-2 Year,Yes,38022,197,0
441,Male,53,1,39,0,1-2 Year,Yes,2630,83,0
442,Female,67,1,29,0,1-2 Year,Yes,43753,30,1
443,Male,54,1,33,0,1-2 Year,Yes,39396,295,0
444,Female,25,1,23,1,< 1 Year,No,2630,228,0
445,Female,21,1,30,1,< 1 Year,No,24030,82,0
446,Female,39,1,28,0,1-2 Year,Yes,33016,74,0
447,Male,54,1,35,0,1-2 Year,Yes,26629,113,1
448,Female,24,1,32,0,< 1 Year,Yes,2630,107,0
449,Female,23,1,2,1,< 1 Year,No,24881,247,0
450,Male,33,1,15,1,< 1 Year,No,2630,190,0
451,Female,23,1,37,0,< 1 Year,Yes,21214,126,1
452,Female,23,1,21,0,< 1 Year,Yes,24388,270,0
453,Male,47,1,46,1,1-2 Year,No,2630,270,0
454,Male,63,1,28,0,1-2 Year,Yes,44879,85,0
455,Female,27,1,10,0,< 1 Year,Yes,24453,152,0
456,Male,49,1,8,0,1-2 Year,Yes,41648,98,0
457,Male,29,1,28,0,< 1 Year,Yes,40186,227,0
458,Male,46,1,33,0,1-2 Year,Yes,30866,77,0
459,Male,33,1,11,1,< 1 Year,No,35263,271,0
460,Male,40,1,8,1,1-2 Year,No,31839,165,0
461,Female,30,1,49,0,< 1 Year,Yes,27967,270,0
